yp,Aaloo Parantha Combo,Agua Embotellada,Alto,Arroz Basmati,Bajo,Butter Chicken,Butter Naan,Cerveza,Chai,Chana Masala,Chana Masala Combo,Chicken Biryani - Chef´s Special,Chicken Curry,Chicken Curry Combo,Chicken Malai Tikka - Chef´s Special,Chicken Tikka,Chicken Tikka Masala,Coca Cola,Coca Cola Sin Azucar,Con ajo,Con mantequilla,Con queso,Costo Delivery,Dal Makhani,Dal Makhani Combo,Ensalada de Cebolla,Fresca,Gulab Jamun(2 pzas),Jeera Rice,Kadhai Chicken,Kadhai Paneer,Lachha Paratha,Malai Mushroom Tikka,Malai Paneer Tikka,Mango Lassi,Mango Shake,Masala Lassi,Masala Shikanji Mineral,Masala Shikanji Natural,Masala Shikhanji,Medio,Mineral,Mixto de vegetales,Mutton Biryani,Mutton Rogan Josh,Mutton Seekh Kebab,Muy picante,Naan,Natural,Normal,Pakoda,Paneer ( Un queso de la India),Paneer Butter Masala,Paneer Makhani,Paneer Makhani Combo,Paneer Tikka,Pollo,Raita,Samosa,Sharbat,Sidral Mundet,Sin mantequilla,Sprite,Tandoori Roti.,Vegetable Biryani
Kadhai Chicken,0,0.123287671,0.05907173,0.042813456,0.047904192,0.020231214,0,0.070707071,0.086956522,0.061093248,0.027027027,0.041769042,0.02295082,0.013363029,0.080246914,0.072289157,0.034816248,0.094594595,0.04040404,0.05982906,0.051342812,0.030651341,0,0.073800738,0,0.121212121,0,0.077720207,0.110552764,1,0.040462428,0.064705882,0.050847458,0.057142857,0.051470588,0.055555556,0.047619048,0.014124294,0.026785714,0.081395349,0.06882859,0.079470199,0.076923077,0.037735849,0.089605735,0.053571429,0.094117647,0.048395062,0.068965517,0.057613169,0.07486631,0.054054054,0,0.028248588,0,0.055555556,0.086956522,0.035211268,0.03526971,0.020785219,0,0.042079208,0.097560976,0.063679245,0.046082949
Kadhai Paneer,0.5,0.178082192,0.17721519,0.097859327,0.110778443,0.055876686,0,0.151515152,0.086956522,0.112540193,0,0.031941032,0.059016393,0.011135857,0.104938272,0.128514056,0.061895551,0.087837838,0.070707071,0.112179487,0.155608215,0.061302682,0.25,0.247232472,0.023529412,0.333333333,0.1875,0.10880829,0.195979899,0.092105263,1,0.264705882,0.186440678,0.257142857,0.088235294,0.133333333,0.152380952,0.019774011,0,0.11627907,0.142289874,0.125827815,0.153846154,0.081761006,0.068100358,0.125,0.211764706,0.108641975,0.034482759,0.074074074,0.13368984,0.054054054,0,0.06779661,0.023255814,0.077777778,0.130434783,0.091549296,0.118257261,0.020785219,0.066666667,0.123762376,0.048780488,0.186320755,0.175115207
Lachha Paratha,0,0.246575342,0.092827004,0.079510703,0.076347305,0.089595376,0,0.222222222,0.191304348,0.122186495,0.060810811,0.071253071,0.081967213,0.048997773,0.172839506,0.204819277,0.117988395,0.108108108,0.151515152,0.094017094,0.234597156,0.0651341,0,0.258302583,0.117647059,0.333333333,0.125,0.134715026,0.16080402,0.144736842,0.260115607,1,0.220338983,0.314285714,0.147058824,0.144444444,0.257142857,0.076271186,0.044642857,0.203488372,0.120450033,0.21192053,0.169230769,0.125786164,0.136200717,0.267857143,0.176470588,0.08691358,0.172413793,0.209876543,0.171122995,0.135135135,1,0.192090395,0.069767442,0.2,0.217391304,0.147887324,0.126556017,0.073903002,0.333333333,0.180693069,0.195121951,0.169811321,0.082949309
Malai Mushroom Tikka,0,0.068493151,0.025316456,0.014271152,0.017964072,0.015414258,0,0.090909091,0.043478261,0.032154341,0.013513514,0.027027027,0.016393443,0.011135857,0.061728395,0.044176707,0.02901354,0.02027027,0.04040404,0.033119658,0.019747235,0.026819923,0,0.051660517,0,0.03030303,0,0.031088083,0.035175879,0.019736842,0.031791908,0.038235294,1,0,0.036764706,0.033333333,0.047619048,0.011299435,0.008928571,0.069767442,0.022501655,0.072847682,0.030769231,0.025157233,0.035842294,0.044642857,0.023529412,0.019753086,0.103448276,0.049382716,0.037433155,0.027027027,0,0.028248588,0,0.055555556,0.086956522,0.028169014,0.020746888,0.016166282,0,0.014851485,0.024390244,0.014150943,0.064516129
Malai Paneer Tikka,0,0.054794521,0.012658228,0.006116208,0.00748503,0.004816956,0,0.03030303,0.043478261,0.012861736,0.006756757,0.007371007,0.009836066,0,0.018518519,0.036144578,0.015473888,0.013513514,0.01010101,0.016025641,0.018957346,0.007662835,0,0.033210332,0.011764706,0.060606061,0,0.031088083,0.020100503,0.013157895,0.026011561,0.032352941,0,1,0.031862745,0.022222222,0.038095238,0,0.008928571,0.029069767,0.011912641,0.033112583,0.038461538,0.006289308,0.025089606,0.026785714,0.047058824,0.01037037,0,0.020576132,0.032085561,0.027027027,0,0.028248588,0,0.011111111,0,0.007042254,0.01659751,0.011547344,0,0.00990099,0.024390244,0.033018868,0.02764977
Mango Lassi,0.5,0.246575342,0.084388186,0.150866463,0.115269461,0.157032755,0,0.323232323,0.208695652,0.1414791,0.087837838,0.125307125,0.163934426,0.084632517,0.234567901,0.184738956,0.193423598,0.182432432,0.343434343,0.196581197,0.146129542,0.279693487,0,0.15498155,0.070588235,0.242424242,0.3125,0.269430052,0.145728643,0.138157895,0.104046243,0.176470588,0.254237288,0.371428571,1,0.122222222,0.285714286,0.073446328,0.080357143,0.290697674,0.144937128,0.298013245,0.253846154,0.194968553,0.243727599,0.1875,0.164705882,0.155555556,0.275862069,0.205761317,0.267379679,0.351351351,0,0.169491525,0.11627907,0.233333333,0.173913043,0.197183099,0.205394191,0.177829099,0.466666667,0.108910891,0.292682927,0.113207547,0.152073733
Mango Shake,0,0.02739726,0.025316456,0.0254842,0.019461078,0.024084778,0,0.050505051,0.069565217,0.019292605,0,0.041769042,0.036065574,0.008908686,0.024691358,0.020080321,0.03868472,0.054054054,0.01010101,0.030982906,0.037124803,0.022988506,0,0.04797048,0,0,0.1875,0.113989637,0.035175879,0.032894737,0.034682081,0.038235294,0.050847458,0.057142857,0.026960784,1,0,0.011299435,0,0.046511628,0.031767042,0.046357616,0.007692308,0.025157233,0.021505376,0.044642857,0.035294118,0.027654321,0.034482759,0.020576132,0.021390374,0.027027027,0,0.06779661,0.015503876,0.033333333,0.086956522,0.049295775,0.045643154,0.013856813,0,0.007425743,0.024390244,0.025943396,0.041474654
Masala Lassi,0,0.04109589,0.02742616,0.03567788,0.02245509,0.032755299,0,0.050505051,0.191304348,0.067524116,0.047297297,0.041769042,0.019672131,0.0155902,0.043209877,0.044176707,0.03868472,0.060810811,0.050505051,0.03525641,0.041864139,0.034482759,0,0.073800738,0.023529412,0.090909091,0,0.067357513,0.070351759,0.032894737,0.046242775,0.079411765,0.084745763,0.114285714,0.073529412,0,1,0.02259887,0.017857143,0.098837209,0.046326936,0.105960265,0.107692308,0.056603774,0.043010753,0.071428571,0.082352941,0.031111111,0.034482759,0.04526749,0.085561497,0.054054054,0,0.050847458,0.031007752,0.077777778,0,0.042253521,0.053941909,0.036951501,0,0.03960396,0.048780488,0.063679245,0.064516129
Masala Shikanji Mineral,0,0.054794521,0.135021097,0.019367992,0.115269461,0.035645472,0,0.060606061,0.034782609,0.012861736,0.567567568,0.029484029,0.032786885,0.474387528,0.024691358,0.040160643,0.030947776,0.054054054,0.080808081,0.085470085,0.097946288,0.076628352,0,0.018450185,0.611764706,0,0.0625,0.041450777,0.035175879,0.032894737,0.020231214,0.079411765,0.06779661,0,0.06372549,0.044444444,0.076190476,1,0.053571429,0.058139535,0.110522833,0.066225166,0.1,0.018867925,0.039426523,0.089285714,0.011764706,0.095802469,0,0.057613169,0.106951872,0.135135135,1,0.02259887,0.527131783,0.055555556,0.086956522,0.112676056,0.066390041,0.115473441,0.066666667,0.121287129,0.048780488,0.08254717,0.032258065
Masala Shikanji Natural,0,0.01369863,0.03164557,0.00509684,0.041916168,0.010597303,0,0,0.026086957,0.009646302,0.141891892,0.024570025,0.003278689,0.142538976,0.012345679,0.004016064,0.013539652,0.013513514,0.02020202,0.032051282,0.026066351,0.030651341,0,0.011070111,0.176470588,0,0.0625,0.03626943,0.015075377,0.019736842,0,0.014705882,0.016949153,0.028571429,0.022058824,0,0.019047619,0.016949153,1,0.01744186,0.032428855,0.013245033,0.069230769,0,0.025089606,0.026785714,0,0.025679012,0.034482759,0.012345679,0.048128342,0,0,0.011299435,0.19379845,0.022222222,0,0.021126761,0.01659751,0.020785219,0,0.03960396,0,0.044811321,0.004608295
