yp,Aaloo Parantha Combo,Agua Embotellada,Alto,Arroz Basmati,Bajo,Butter Chicken,Butter Naan,Cerveza,Chai,Chana Masala,Chana Masala Combo,Chicken Biryani - Chef´s Special,Chicken Curry,Chicken Curry Combo,Chicken Malai Tikka - Chef´s Special,Chicken Tikka,Chicken Tikka Masala,Coca Cola,Coca Cola Sin Azucar,Con ajo,Con mantequilla,Con queso,Costo Delivery,Dal Makhani,Dal Makhani Combo,Ensalada de Cebolla,Fresca,Gulab Jamun(2 pzas),Jeera Rice,Kadhai Chicken,Kadhai Paneer,Lachha Paratha,Malai Mushroom Tikka,Malai Paneer Tikka,Mango Lassi,Mango Shake,Masala Lassi,Masala Shikanji Mineral,Masala Shikanji Natural,Masala Shikhanji,Medio,Mineral,Mixto de vegetales,Mutton Biryani,Mutton Rogan Josh,Mutton Seekh Kebab,Muy picante,Naan,Natural,Normal,Pakoda,Paneer ( Un queso de la India),Paneer Butter Masala,Paneer Makhani,Paneer Makhani Combo,Paneer Tikka,Pollo,Raita,Samosa,Sharbat,Sidral Mundet,Sin mantequilla,Sprite,Tandoori Roti.,Vegetable Biryani
Paneer Makhani,0,0.136986301,0.012658228,0.065239551,0.03742515,0.04238921,0,0.050505051,0.12173913,0.064308682,0.013513514,0.01965602,0.042622951,0.004454343,0.074074074,0.040160643,0.021276596,0.047297297,0.050505051,0.056623932,0.079778831,0.042145594,0.75,0.095940959,0.047058824,0.121212121,0.125,0.067357513,0.095477387,0.032894737,0.034682081,0.1,0.084745763,0.142857143,0.073529412,0.133333333,0.085714286,0.011299435,0.017857143,0.063953488,0.031767042,0.066225166,0.015384615,0.012578616,0.028673835,0.098214286,0.047058824,0.062222222,0.034482759,0.061728395,0.032085561,0.108108108,0,1,0,0.122222222,0,0.112676056,0.049792531,0.023094688,0,0.064356436,0.12195122,0.070754717,0.073732719
Paneer Makhani Combo,0,0.02739726,0.006329114,0.011213048,0.011976048,0.011560694,0,0.02020202,0.034782609,0.012861736,0.101351351,0.017199017,0.016393443,0.06013363,0.00617284,0.008032129,0.021276596,0.033783784,0.03030303,0.032051282,0.042654028,0.042145594,0,0.014760148,0.094117647,0,0.0625,0.020725389,0.015075377,0,0.00867052,0.026470588,0,0,0.036764706,0.022222222,0.038095238,0.192090395,0.223214286,0.023255814,0.028457975,0.01986755,0.1,0.006289308,0.007168459,0.0625,0,0.035555556,0.034482759,0.016460905,0.080213904,0.027027027,0,0,1,0.022222222,0.043478261,0.042253521,0.022821577,0.138568129,0.133333333,0.01980198,0,0.028301887,0.004608295
Paneer Tikka,0,0.082191781,0.033755274,0.02038736,0.011976048,0.021194605,0,0.111111111,0.052173913,0.041800643,0.02027027,0.027027027,0.013114754,0.011135857,0.049382716,0.068273092,0.02901354,0.02027027,0.060606061,0.033119658,0.035545024,0.030651341,0,0.062730627,0.023529412,0.090909091,0.0625,0.051813472,0.040201005,0.032894737,0.020231214,0.052941176,0.084745763,0.028571429,0.051470588,0.033333333,0.066666667,0.014124294,0.017857143,0.058139535,0.032428855,0.066225166,0.038461538,0.037735849,0.068100358,0.089285714,0.270588235,0.02617284,0.103448276,0.288065844,0.048128342,0.054054054,0,0.062146893,0.015503876,1,0.086956522,0.056338028,0.045643154,0.027713626,0,0.042079208,0.146341463,0.037735849,0.078341014
Pollo,0,0.02739726,0.012658228,0.006116208,0.010479042,0.00867052,0,0.04040404,0.008695652,0,0,0.00982801,0.016393443,0.006681514,0.00617284,0.004016064,0.00967118,0.006756757,0.02020202,0.010683761,0.011058452,0.011494253,0,0.003690037,0,0,0,0.010362694,0.005025126,0.013157895,0.00867052,0.014705882,0.033898305,0,0.009803922,0.022222222,0,0.005649718,0,0.023255814,0.006618134,0.026490066,0.007692308,0.018867925,0.014336918,0.008928571,0,0.007407407,0,0.008230453,0.122994652,0,0,0,0.007751938,0.022222222,1,0.014084507,0.002074689,0.011547344,0.066666667,0.00990099,0.048780488,0.004716981,0.00921659
Raita,0.5,0.068493151,0.023206751,0.047910296,0.043413174,0.040462428,0,0.04040404,0.069565217,0.093247588,0.054054054,0.041769042,0.042622951,0.033407572,0.049382716,0.032128514,0.046421663,0.054054054,0.101010101,0.053418803,0.051342812,0.0651341,0,0.070110701,0.023529412,0.060606061,0.0625,0.062176166,0.075376884,0.032894737,0.037572254,0.061764706,0.06779661,0.028571429,0.068627451,0.077777778,0.057142857,0.04519774,0.026785714,0.075581395,0.051621443,0.066225166,0.061538462,0.06918239,0.086021505,0.044642857,0.035294118,0.04691358,0.103448276,0.053497942,0.069518717,0.081081081,0,0.09039548,0.046511628,0.088888889,0.086956522,1,0.056016598,0.053117783,0.066666667,0.047029703,0.12195122,0.063679245,0.064516129
Samosa,0,0.136986301,0.124472574,0.185524975,0.133233533,0.159922929,0.5,0.282828283,0.173913043,0.205787781,0.081081081,0.125307125,0.180327869,0.084632517,0.12345679,0.196787149,0.185686654,0.27027027,0.262626263,0.18482906,0.152448657,0.214559387,0,0.20295203,0.070588235,0.212121212,0.25,0.202072539,0.165829146,0.111842105,0.164739884,0.179411765,0.169491525,0.228571429,0.242647059,0.244444444,0.247619048,0.09039548,0.071428571,0.203488372,0.151555261,0.218543046,0.153846154,0.150943396,0.161290323,0.232142857,0.211764706,0.159506173,0.103448276,0.218106996,0.14973262,0.243243243,1,0.13559322,0.085271318,0.244444444,0.043478261,0.190140845,1,0.138568129,0.2,0.143564356,0.341463415,0.132075472,0.138248848
Sharbat,0,0.150684932,0.092827004,0.076452599,0.151197605,0.078998073,0,0.222222222,0.226086957,0.077170418,0.452702703,0.078624079,0.095081967,0.501113586,0.117283951,0.108433735,0.102514507,0.121621622,0.191919192,0.137820513,0.137440758,0.214559387,0,0.04797048,0.388235294,0.03030303,0.125,0.186528497,0.075376884,0.059210526,0.026011561,0.094117647,0.118644068,0.142857143,0.18872549,0.066666667,0.152380952,0.141242938,0.080357143,0.244186047,0.167438782,0.258278146,0.253846154,0.094339623,0.111111111,0.151785714,0.058823529,0.135308642,0.206896552,0.127572016,0.262032086,0.297297297,0,0.056497175,0.465116279,0.133333333,0.217391304,0.161971831,0.124481328,1,0.266666667,0.108910891,0.195121951,0.136792453,0.069124424
Sidral Mundet,0,0,0.002109705,0.007135576,0.001497006,0.006743738,0,0.02020202,0.008695652,0,0.006756757,0.002457002,0.006557377,0.002227171,0.012345679,0.020080321,0.00967118,0.027027027,0.03030303,0.008547009,0.006319115,0.007662835,0,0.003690037,0,0.03030303,0.0625,0.010362694,0,0,0.002890173,0.014705882,0,0,0.017156863,0,0,0.002824859,0,0.01744186,0.00595632,0.01986755,0.007692308,0.018867925,0.017921147,0.008928571,0.011764706,0.006419753,0,0.016460905,0.016042781,0.027027027,0,0,0.015503876,0,0.043478261,0.007042254,0.006224066,0.009237875,1,0.00990099,0.024390244,0.007075472,0.004608295
Sin mantequilla,0,0.191780822,0.122362869,0.125382263,0.152694611,0.113680154,0,0.070707071,0.12173913,0.186495177,0.148648649,0.083538084,0.13442623,0.118040089,0.104938272,0.172690763,0.116054159,0.087837838,0.121212121,0.056623932,0.051342812,0.034482759,0,0.177121771,0.164705882,0.393939394,0.0625,0.10880829,0.145728643,0.111842105,0.144508671,0.214705882,0.101694915,0.114285714,0.107843137,0.033333333,0.152380952,0.138418079,0.142857143,0.145348837,0.107875579,0.152317881,0.092307692,0.088050314,0.103942652,0.125,0.141176471,0.135802469,0.172413793,0.176954733,0.117647059,0.162162162,0,0.146892655,0.062015504,0.188888889,0.173913043,0.133802817,0.12033195,0.101616628,0.266666667,1,0.243902439,0.386792453,0.119815668
Sprite,0,0.02739726,0.016877637,0.019367992,0.011976048,0.014450867,0,0.050505051,0.043478261,0.009646302,0.013513514,0.022113022,0.026229508,0.004454343,0.012345679,0.016064257,0.011605416,0.027027027,0.070707071,0.013888889,0.017377567,0.019157088,0,0.029520295,0,0.03030303,0.0625,0.03626943,0.005025126,0.026315789,0.005780347,0.023529412,0.016949153,0.028571429,0.029411765,0.011111111,0.019047619,0.005649718,0,0.023255814,0.013236267,0.026490066,0.030769231,0.012578616,0.035842294,0.044642857,0.023529412,0.015308642,0,0.028806584,0.042780749,0.054054054,0,0.028248588,0,0.066666667,0.086956522,0.035211268,0.029045643,0.018475751,0.066666667,0.024752475,1,0.016509434,0.023041475
Tandoori Roti.,0.5,0.205479452,0.11814346,0.083588175,0.125748503,0.099229287,0,0.131313131,0.165217391,0.183279743,0.135135135,0.073710074,0.137704918,0.109131403,0.12345679,0.172690763,0.135396518,0.155405405,0.101010101,0.079059829,0.237756714,0.038314176,0.75,0.284132841,0.141176471,0.393939394,0.0625,0.150259067,0.216080402,0.177631579,0.228323699,0.211764706,0.101694915,0.4,0.117647059,0.122222222,0.257142857,0.098870056,0.169642857,0.209302326,0.140304434,0.225165563,0.176923077,0.075471698,0.107526882,0.151785714,0.188235294,0.08,0.172413793,0.16872428,0.176470588,0.216216216,0,0.169491525,0.093023256,0.177777778,0.086956522,0.190140845,0.116182573,0.133949192,0.2,0.405940594,0.170731707,1,0.147465438
Vegetable Biryani,0,0.095890411,0.08649789,0.017329256,0.074850299,0.04238921,0,0.141414141,0.052173913,0.096463023,0.02027027,0.061425061,0.06557377,0.013363029,0.135802469,0.068273092,0.067698259,0.074324324,0.060606061,0.057692308,0.057661927,0.057471264,0,0.121771218,0.047058824,0.121212121,0,0.067357513,0.045226131,0.065789474,0.10982659,0.052941176,0.237288136,0.171428571,0.080882353,0.1,0.133333333,0.019774011,0.008928571,0.093023256,0.099272005,0.099337748,0.1,0.056603774,0.064516129,0.089285714,0.129411765,0.054320988,0.103448276,0.082304527,0.096256684,0.081081081,0,0.09039548,0.007751938,0.188888889,0.086956522,0.098591549,0.062240664,0.034642032,0.066666667,0.064356436,0.12195122,0.075471698,1
